index,sha256,filename,path,lectures,topics,relevance
1,13b3b5a6e354f66dc8284c9ef00d4dbc2b487678dafb6aa096319d3ed36b5278,A ARDS Intraalveolar Hyaline Membranes Histology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/A ARDS Intraalveolar Hyaline Membranes Histology.png,"P26 - Diseases of the Respiratory Tract - Part 3 - Vascular, Cancer, Other Disease (Pathology)",Pathology | Diagnostics,Provides a verified lecture-aligned visual anchor for A ARDS Intraalveolar Hyaline Membranes Histology
2,919c9a36b9c44a88eb6a6b447789f63118efeb924f8f93a6dc04147243424779,A Asbestos Related Pleural Plaques CT.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/A Asbestos Related Pleural Plaques CT.png,P24 - Diseases of the Respiratory Tract - Part 2 - Restrictive Disease (Pathology) | P27.2 - Chest X-Ray Final Review | Pulmonary - Comprehensive Study Guide,asbestos | pleura | CT,Shows calcified pleural plaques as an asbestos exposure marker.
3,57630f0725db7298d302c49fe8f393c40a08f48b0b5902c6592147550a473708,A Sarcoidosis Noncaseating Granuloma Histology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/A Sarcoidosis Noncaseating Granuloma Histology.png,P24 - Diseases of the Respiratory Tract - Part 2 - Restrictive Disease (Pathology),sarcoidosis | histology,Shows a compact non-necrotizing sarcoid granuloma.
4,48142b8f0e16c4a3958bb8c6b06af432f33851bcfccf19339d970e009c8eb577,A Small Cell Lung Carcinoma Small Dark Blue Cells Histology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/A Small Cell Lung Carcinoma Small Dark Blue Cells Histology.png,P14 - Introduction to Pulmonary Pathophysiology,small-cell lung carcinoma | histology | lung cancer,Histology demonstrates the small dark blue cell pattern of small-cell lung carcinoma.
5,ab405a8b61e6d369df866d0a0abdb37244f096390ae7daca13c422e060e8e598,Acid-Base Nomogram.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Acid-Base Nomogram.jpg,"P7 - Gas Exchange, Part 2 - Causes of Hypoxemia",Acid Base Nomogram,"Visually verified course-aligned reference for Gas Exchange, Part 2 - Causes of Hypoxemia: Acid Base Nomogram."
6,acd1bcf4168346a63d33b4d9714eaa20d49cc1dc1b3d3ec0db7a8a3d8e054f98,Acute-Respiratory-Distress-Syndrome-Initial-Ventilator-Management.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Acute-Respiratory-Distress-Syndrome-Initial-Ventilator-Management.png,P35 - Acute Respiratory Failure,ARDS | mechanical ventilation | lung-protective ventilation,"Initial ARDS ventilator-management algorithm reinforces low-tidal-volume ventilation, plateau-pressure limitation, and PEEP/FiO2 titration."
7,2d1d1cf5cd09a74e346e30f7ca15338cea730b7abbc3fba5670ad9e43414bec5,acute-respiratory-distress-syndrome.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/acute-respiratory-distress-syndrome.jpg,P13 - Pulmonary Problem Solving Exercise Part 1,ARDS | acute dyspnea | chest radiograph,Annotated chest radiograph showing diffuse bilateral infiltrates in ARDS.
8,3a4ff8390c637e9d540a946683f9ad0993a3200999608a183fb9d1498bddaea6,Adenovirus Febrile Pharyngitis.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Adenovirus Febrile Pharyngitis.png,P29 - Microbiology of Pneumonia - Viral Infections of the Respiratory Tract,Microbiology | Clinical,Provides a verified lecture-aligned visual anchor for Adenovirus Febrile Pharyngitis
9,7183dde595b4523c46a7bc5827192771724d40643295e78cdbf9d2e76696121c,Adenovirus.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Adenovirus.png,P29 - Microbiology of Pneumonia - Viral Infections of the Respiratory Tract,Microbiology | Clinical,Provides a verified lecture-aligned visual anchor for Adenovirus
10,29ccd9e31cdd9cbc7e33f9c0e1778175afe0db7729da37dbacb9c7b4c2a57704,adverse-effects-of-inhaled-corticosteroids.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/adverse-effects-of-inhaled-corticosteroids.png,P22-23 - Drugs Used for Treatment of Asthma and COPD,inhaled corticosteroids | oral thrush | dysphonia | adverse effects,Readable table separates local ICS toxicity from the less common systemic effects and reinforces mouth rinsing and spacer use.
11,e0ff0eba97ef3749c9fc1b36508c99a3991f253d0d748ddd6cab80f33728468b,Air-Bronchogram.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Air-Bronchogram.jpg,P27 - Radiology of Pulmonary Infections and Lung Cancer | P27.2 - Chest X-Ray Final Review | P31 - Review of Pneumonia - Pathology and Pharmacology,Diagnostics | Pathology,Provides a verified lecture-aligned visual anchor for Air Bronchogram
12,a3014e3f226554412dc1e914cd8bce292590401b5aa225e62450ca8c56d420ae,Airspace Consolidation (1:2).jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Airspace Consolidation (1:2).jpg,P17 - Introduction to Respiratory Pathophysiology | P18 - Basic Interpretation of Chest X-Ray | P31 - Review of Pneumonia - Pathology and Pharmacology,alveolar filling | airspace consolidation | chest radiograph,Radiograph shows an alveolar-filling pattern with dense lobar airspace consolidation.
13,527661d668564974004c4372b69e8f62796928a6cbaafb384a636999ed61ab2d,Airway Pressure in Spontaneous Breathing and Mechanical Ventilation.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Airway Pressure in Spontaneous Breathing and Mechanical Ventilation.jpg,"P35 - Acute Respiratory Failure | P5 - Spirometry, Obstructive and Restrictive Pulmonary Diseases",positive pressure ventilation | airway pressure | lung mechanics,Contrasts negative-pressure spontaneous inspiration with positive-pressure mechanical ventilation.
14,65ce5aea7c1f92aa15266e10e93c694c1b9eb3aa2d6665f8648405b930602b2f,Airway Sizes.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Airway Sizes.png,P2 - Structure and Volumes,Airway Sizes,Visually verified course-aligned reference for Structure and Volumes: Airway Sizes.
15,81f877b88cd6f34e5d69b58ffbc346a4b33f89713b0219894378143f7dbdb393,alpha-1-antitrypsin-deficiency.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/alpha-1-antitrypsin-deficiency.jpg,P19 - Obstructive Diseases and Airway Diseases,alpha-1 antitrypsin deficiency | emphysema | liver,Integrates antiprotease loss in lung with misfolded protein accumulation in liver.
16,a417dfc1367e89fcb39cecc353dd758035b84e7f0d1f151a045dd151ca0ae3eb,Alveolar Structure.jpeg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolar Structure.jpeg,P2 - Structure and Volumes,Alveolar Structure,Visually verified course-aligned reference for Structure and Volumes: Alveolar Structure.
17,ca1795d4d92e979eaf1555127d83bf6851f9caabe41582d130747907aad4a553,Alveolar-and-Pleural-Pressures-Tidal-Breathing.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolar-and-Pleural-Pressures-Tidal-Breathing.png,"P4 - Mechanics, Compliance and Ventilation | P9 - Pulmonary Physiology Review | Pulmonary - Comprehensive Study Guide",Alveolar and Pleural Pressures Tidal Breathing,"Visually verified course-aligned reference for Mechanics, Compliance and Ventilation: Alveolar and Pleural Pressures Tidal Breathing."
18,45fd34ba2a88539eaad5b83447ba157df3d012d81aa05ef9dfff8b460bf0ba61,Alveolar-Gas-Equation-Formula.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolar-Gas-Equation-Formula.png,"P10 - Physiology Six-Case Workshop | P6 - Gas Exchange, Part 1 - Pressures, Diffusion and Transport",Alveolar Gas Equation Formula,Visually verified course-aligned reference for Physiology Six-Case Workshop: Alveolar Gas Equation Formula.
