review_index,path,filename,sha256,width,height,prior_disposition,disposition,decision_reason,app_question_id,app_quiz_asset
1,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/23-Bpg-Hemoglobin-Binding.png,23-Bpg-Hemoglobin-Binding.png,d15057ccdee5450cc80d59659b5efad7f8081a20ec381bbf7f537bea5cb1f3a4,1082,848,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
2,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/A Emphysema Hyperinflation Lateral Chest Xray.png,A Emphysema Hyperinflation Lateral Chest Xray.png,1443401769aab278461c28ab9bd7231cee6373d09ae69ab8f1b0a918c7f8e45d,264,225,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
3,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/A Pleural Effusion Pretreatment CXR CT.png,A Pleural Effusion Pretreatment CXR CT.png,51a1e0b729c676a91b7851cdc35f692efcf019569501171600a0ae05b6567c5d,545,245,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
4,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/A Pneumothorax CT Air in Pleural Space with Partial Lung Collapse.png,A Pneumothorax CT Air in Pleural Space with Partial Lung Collapse.png,521c82cbf026c3d876efc5d2956b7707e5e280b1d79396ad66539137e6dc656e,447,329,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
5,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/AA Pathway.png,AA Pathway.png,3af682e223e1bbebe2f27a4956fe1f1f77aafcb75e36bf11db37423bee948deb,2400,2251,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
6,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Aa-Gradient-Calculation-Worked-Example.png,Aa-Gradient-Calculation-Worked-Example.png,fd262f9c484e961f177eac18b363c682640f27cb4ca8d2ba62103fadc1e205f3,1478,980,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
7,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Aa-Gradient-Causes-Table.png,Aa-Gradient-Causes-Table.png,6da6b78a036bb8408339b347aa88a2ca102f87ca5dad71083ee6ad96930f49da,2018,540,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
8,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Aa-Gradient-Diagram.png,Aa-Gradient-Diagram.png,f15a62aa048c7d83189d66d154e192dec75bd890947fa7c8c3ae2b8b563d8b09,2082,1272,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
9,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Abg-Interpretation-Acid-Base-Disorders.png,Abg-Interpretation-Acid-Base-Disorders.png,72a1eaf0f0fdf4f342eeea109ef734ef852faaaf03d4f90f587b3cbba5b1fca8,838,854,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
10,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Abnormal-Oxygen-Levels-Hypoxia-Notes.png,Abnormal-Oxygen-Levels-Hypoxia-Notes.png,f090eeeb26b842163a9cf1e519630064e0c4035a631ae91fb42d991fa25a0d60,2356,1204,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
11,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Acid-Base Balance.jpg,Acid-Base Balance.jpg,d848dfba979a6b1677ce91e6fac0af6b883450f3591dd08078ed02e648a25b2f,1600,884,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
12,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Active TB - Diagnosis.png,Active TB - Diagnosis.png,66416edb9df6bbaa8aa23ce85e63506072da1bf7160925bb2040a2e1062c53cf,1037,681,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
13,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Acute Silicosis.jpg,Acute Silicosis.jpg,c884043a961db7e6b22bcc3dc327c9704a121fe3da6eaacd4c8caf34d0023fe8,1223,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
14,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Acute Tonsillopharyngitis.jpg,Acute Tonsillopharyngitis.jpg,4989d3518d1f5b4a546e7a5b8dce26502e6ff5d658fca0b9391cc2a03943451e,1525,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
15,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Acute-Bronchitis.png,Acute-Bronchitis.png,e46438a5ed25d6af9d2a8a6b75287d979cfbab0ef0f3c8633b152c39b7279082,1182,616,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
16,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Acute-Deep-Vein-Thrombosis-Compression-Ultrasound.png,Acute-Deep-Vein-Thrombosis-Compression-Ultrasound.png,a2894030e9d84fdee7d3b0dd3ba741e627873a4f374945da6b44cc9ecb725ad8,700,551,,ADDED_SCORED,Paired compression-ultrasound panels make noncompressibility visually decisive; only the answer title was cropped.,q_4c4d3558ad74,public/assets/images/quiz_e729a68b534ed812.png
17,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Acute-Exacerbation-of-Chronic-Obstructive-Pulmonary-Disease.png,Acute-Exacerbation-of-Chronic-Obstructive-Pulmonary-Disease.png,883184c8eca9e5d2a0b27b5647b9f03a11a7eeb61fe1887f432b2668fa6b898c,1188,712,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
18,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Acute-Hypersensitivity-Pneumonitis.jpg,Acute-Hypersensitivity-Pneumonitis.jpg,26298a8d6cb62dd25aea6342570cdaec13d507af4e83e29a7e9bbfe72e52b991,700,509,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
19,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Acute-Opacified-Hemithorax-Unilateral-Whiteout.png,Acute-Opacified-Hemithorax-Unilateral-Whiteout.png,4fbc1290e72d59b34435906d5c5da62ac439a4a0bb7e7bd466edf3bb5d1589cd,1186,492,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
20,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Acute-Respiratory-Distress-Syndrome-Management-and-Prognosis.png,Acute-Respiratory-Distress-Syndrome-Management-and-Prognosis.png,f7c3d809905c3d9ac5172f61b3450227022f422808982c3f993d124e512e59fb,1476,774,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
21,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Acute-Respiratory-Distress-Syndrome.png,Acute-Respiratory-Distress-Syndrome.png,fe3a0e28d277ad57411d8ca375ba34621355b7f88741b8d756e0ebcd0465d855,1546,1128,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
22,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Adenocarcinoma of the Lung.jpg,Adenocarcinoma of the Lung.jpg,5ebc3c738f84b86453396177e9335b9391877aebaed9d260da8cf4198381411c,1567,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
23,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Air Trapping in Pulmonary Emphysema Lateral View.jpg,Air Trapping in Pulmonary Emphysema Lateral View.jpg,fccb2492f53812bb9c161b21ccc57f1056b2a8de68ee270291906a9451ecd21d,1329,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
24,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Air Trapping in Pulmonary Emphysema PA View.jpg,Air Trapping in Pulmonary Emphysema PA View.jpg,984f37bfd9f2f133c71a8cfe426f8cf563563bce56b9a86e4a884ff4248a6421,1326,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
25,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Airway-Foreign-Body-Management.png,Airway-Foreign-Body-Management.png,a9af27c3024face39a14540d30b7288fcc9fad90e70da493603e34e471bd641d,700,686,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
26,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Alpha-1 Antitrypsin Deficiency (Liver).jpg,Alpha-1 Antitrypsin Deficiency (Liver).jpg,daae87529400d889ecaf41285ad623985ad973f3d81e97614a41cef59f265c47,1501,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
27,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Alpha-1 Antitrypsin Deficiency.jpg,Alpha-1 Antitrypsin Deficiency.jpg,2e42810ea74472e4efdff7830ddcef9c07d4cdccecf4a5b6c5a0bc1850b0330a,1261,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
28,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Alpha-1-Antitrypsin-Deficiency.png,Alpha-1-Antitrypsin-Deficiency.png,143f9930676f3c8130b52da8a04bb098f2213f7c3e7c29cac85589d765fbc24f,996,422,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
29,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Alpha-Thalassemia-Genotypes-Table.png,Alpha-Thalassemia-Genotypes-Table.png,42c0507d4d88d1d6fc851ec0e2770c02094d7b9c1b1eab045be2313dac57e6b2,1114,598,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
30,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Alpha1-Antitrypsin-Deficiency-Emphysema.png,Alpha1-Antitrypsin-Deficiency-Emphysema.png,e1b1a59c198a5ee911817c35316631f201ead0385d30307a9d1543972416d7b3,986,524,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
31,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Alveolar Collapse in Surfactant Deficiency.jpg,Alveolar Collapse in Surfactant Deficiency.jpg,852228fb137d325e77863a9e96e45029aeb54ebd21516f81689d2ca921c636ea,1334,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
32,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Alveolar Epithelium.png,Alveolar Epithelium.png,06aedaea92acde80c295e5df3e5e7b4d19c8535ebfa9211b57c7dcef641a5373,1264,924,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
33,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Alveolar-Capillary-Gas-Exchange-Diagram.png,Alveolar-Capillary-Gas-Exchange-Diagram.png,cadeb23e71cc003af362709498e3bd9aba09f7cf9c2a0d1fe4deda7098ba5fa2,1040,986,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
