asset_id,source_group_id,source_id,status,modality,category,canonical_correct_answer,original_relative_path,quiz_safe_variant_path,source_sha256,landing_page_url,displayed_license,rights_status
asset_ee6974cc71e0,sg_22775e19b69b,src_a7e4cc2e05f4,USABLE,Ultrasound,Point-of-care ultrasound,B-lines indicating an interstitial lung syndrome,originals/b-lines-lung-ultrasound.jpg,originals/b-lines-lung-ultrasound.jpg,ee6974cc71e05bb309fe81f668a13397d49f3c1989afe5329f1141fb626af91e,https://commons.wikimedia.org/wiki/File:B_lines_on_a_lung_ultrasound_of_a_patient_with_fibrosis.jpg,CC BY-SA 4.0,cc_by_sa
asset_8fce4207e08f,sg_515f4e5e89e1,src_8bea84cf02b6,USABLE,Ultrasound,Point-of-care ultrasound,Seashore sign indicating normal lung sliding,originals/seashore-sign-lung-ultrasound.jpg,originals/seashore-sign-lung-ultrasound.jpg,8fce4207e08fe4065c27b58a7f917ff04d560837620a1de2b8dee1d09d8cd8a3,https://commons.wikimedia.org/wiki/File:Sea_shore_sign_on_a_lung_ultrasound.jpg,CC BY-SA 4.0,cc_by_sa
asset_ecd3383d892c,sg_9b6a71f51601,src_d0cb814f9b7c,USABLE,Clinical Image,Pulmonary procedures,Flexible bronchoscopy,originals/bronchoscopy-procedure.jpg,originals/bronchoscopy-procedure.jpg,ecd3383d892c76391a829bcab592246f9a92aa9b266dd8b14bdc826ddd7a0c6d,https://commons.wikimedia.org/wiki/File:Bronchoscopy.jpg,Public Domain Mark 1.0 (U.S. federal work),public_domain
asset_0c31b6a9b5d7,sg_b06e60739031,src_5db8f6903dd8,USABLE,X-ray,Lines and tubes,Right thoracostomy tube for pneumothorax,originals/right-chest-tube-cxr.png,originals/right-chest-tube-cxr.png,0c31b6a9b5d7affd2650dfd684654fcc843f8a8d78538320f1f3894bdcce9376,https://commons.wikimedia.org/wiki/File:ChesttubeforRtPneumo.png,CC BY-SA 4.0,cc_by_sa
asset_75e53a6f03c6,sg_6971cacfbd25,src_d32c93e07609,USABLE,X-ray,Lines and tubes,Central venous catheter,originals/central-venous-catheter-cxr.jpg,originals/central-venous-catheter-cxr.jpg,75e53a6f03c6e9a85f175af336f11fc516ac282708a9c46b216e8542fdcfe4d0,"https://commons.wikimedia.org/wiki/File:Human_chest_x-ray,_adult_male,_with_central_venous_catheter.jpg",Public domain medical image (Poland),public_domain
asset_578e599af223,sg_7d286cd41722,src_5cd2489a4747,USABLE,Clinical Image,Pulmonary equipment,Water-seal chest drainage system,originals/chest-drain-apparatus.jpg,originals/chest-drain-apparatus.jpg,578e599af22323bc8e8fffeaf87ba2ea4bb8cd8efbe17d92c6e8f0dfe7605293,https://commons.wikimedia.org/wiki/File:Chest_drain_2_fluids.jpg,Public domain,public_domain
asset_eb46780f1fc2,sg_3d39ea41db96,src_410b1151df9a,USABLE,Clinical Image,Upper-airway endoscopy,Omega-shaped epiglottis in laryngomalacia,originals/omega-epiglottis.jpg,originals/omega-epiglottis.jpg,eb46780f1fc273a0d94f666c4499ca45ac0b938da6c772b9ff351fa12c5f2aae,,Local study use only; do not redistribute,local_only
asset_a64b9e4c63db,sg_831ecab63081,src_9ae2a8f227cf,USABLE,Clinical Image,Upper-airway endoscopy,Bilateral vocal-fold nodules,originals/vocal-cord-nodules.png,originals/vocal-cord-nodules.png,a64b9e4c63db32bfdda401d2450b88be87a8762e3e8e6b6044315607279b0332,,Local study use only; do not redistribute,local_only
asset_f6f8f8447b68,sg_7728157daec1,src_d3693d701478,USABLE,Flow-Volume Loop,Pulmonary function testing,Small-airway obstructive flow-volume loop,originals/obstructive-flow-volume-loop.jpg,variants/var_a1c0aa273f76.png,f6f8f8447b68ce0238c997696c817c42e00909f31d1ab5607b14e31744dc2cc7,,Local study use only; do not redistribute,local_only
asset_e588e4ed049d,sg_b1ca4a3f7fa4,src_786485b1c49d,USABLE,Flow-Volume Loop,Pulmonary function testing,Fixed upper-airway obstruction,originals/fixed-upper-airway-loop.jpg,variants/var_b6f1979a696f.png,e588e4ed049d7e9fabe9740283bac60767d1fabf697c1d625dc025e8cc927ecc,,Local study use only; do not redistribute,local_only
